text,label
Thoughts,sports
on,sports
athletes,sports
being,sports
paid,sports
Football,sports
and,sports
other,sports
sports,sports
are,sports
supposed,sports
to,sports
be,sports
fun,sports
and,sports
entertaining.,sports
Professional,sports
athletes,sports
get,sports
paid,sports
extremely,sports
well,sports
for,sports
playing,sports
a,sports
game,sports
they,sports
love.,sports
As,sports
with,sports
any,sports
"occupation,",sports
"however,",sports
there,sports
is,sports
a,sports
dark,sports
side.,sports
These,sports
athletes,sports
endure,sports
injuries,sports
that,sports
can,sports
having,sports
lasting,sports
"effects,",sports
some,sports
even,sports
life,sports
threatening.,sports
This,sports
seminar,sports
will,sports
provide,sports
an,sports
in-depth,sports
view,sports
of,sports
athletes,sports
who,sports
deal,sports
with,sports
the,sports
effects,sports
of,sports
concussions,sports
and,sports
some,sports
who,sports
could,sports
not.CC.1.3.910.BCite,sports
strong,sports
and,sports
thorough,sports
textual,sports
evidence,sports
to,sports
support,sports
analysis,sports
of,sports
what,sports
the,sports
text,sports
says,sports
"explicitly,",sports
as,sports
well,sports
as,sports
inferences,sports
and,sports
conclusions,sports
based,sports
on,sports
an,sports
authors,sports
explicit,sports
assumptions,sports
and,sports
beliefs,sports
about,sports
a,sports
subject.CC.1.2.1112.GIntegrate,sports
and,sports
evaluate,sports
multiple,sports
sources,sports
of,sports
information,sports
presented,sports
in,sports
different,sports
media,sports
or,sports
formats,sports
"(e.g.,",sports
"visually,",sports
quantitatively),sports
as,sports
well,sports
as,sports
in,sports
words,sports
in,sports
order,sports
to,sports
address,sports
a,sports
question,sports
or,sports
solve,sports
a,sports
problem.,sports
Athletes,sports
often,sports
wear,sports
protective,sports
gear,sports
to,sports
keep,sports
themselves,sports
safe,sports
in,sports
contact,sports
sports.,sports
In,sports
this,sports
"spirit,",sports
students,sports
follow,sports
the,sports
steps,sports
of,sports
engineering,sports
design,sports
process,sports
as,sports
they,sports
"design,",sports
build,sports
and,sports
test,sports
protective,sports
padding,sports
for,sports
an,sports
egg,sports
drop.,sports
Many,sports
of,sports
the,sports
design,sports
considerations,sports
surrounding,sports
egg,sports
drops,sports
are,sports
similar,sports
to,sports
sports,sports
equipment,sports
design.,sports
Watching,sports
the,sports
transformation,sports
of,sports
energy,sports
from,sports
potential,sports
to,sports
"kinetic,",sports
observing,sports
the,sports
impact,sports
and,sports
working,sports
under,sports
material,sports
constraints,sports
introduces,sports
students,sports
to,sports
"""sports",sports
"engineering""",sports
and,sports
gives,sports
them,sports
a,sports
chance,sports
to,sports
experience,sports
some,sports
of,sports
the,sports
challenges,sports
engineers,sports
face,sports
in,sports
designing,sports
equipment,sports
to,sports
protect,sports
athletes.,sports
This,sports
single,sports
day,sports
lesson,sports
plan,sports
covers,sports
hydration,sports
through,sports
a,sports
sports,sports
performance,sports
lens.,sports
Students,sports
within,sports
this,sports
lesson,sports
will,sports
be,sports
asked,sports
to,sports
take,sports
notes,sports
using,sports
the,sports
presentaion,sports
provided,sports
and,sports
complete,sports
the,sports
Hydration,sports
Math,sports
worksheet.,sports
Key,sports
Terms:,sports
"Hydration,",sports
Sweat,sports
"Loss,",sports
Electrolytes,sports
Athletes,sports
always,sports
try,sports
to,sports
gain,sports
an,sports
advantage,sports
over,sports
their,sports
opponent.,sports
They,sports
work,sports
out,sports
"hard,",sports
meticulously,sports
watch,sports
what,sports
they,sports
"eat,",sports
and,sports
in,sports
some,sports
cases,sports
take,sports
supplements.,sports
Some,sports
athletes,sports
even,sports
go,sports
to,sports
the,sports
extreme,sports
and,sports
take,sports
performance,sports
enhancing,sports
"drugs,",sports
"steroids,",sports
known,sports
as,sports
PEDs.,sports
This,sports
seminar,sports
will,sports
provide,sports
the,sports
learner,sports
the,sports
ability,sports
to,sports
acquire,sports
and,sports
integrate,sports
the,sports
knowledge,sports
of,sports
the,sports
history,sports
of,sports
performance,sports
enhancing,sports
drugs,sports
into,sports
today's,sports
sports,sports
world.StandardsCC.1.2.1112.ADetermine,sports
and,sports
analyze,sports
the,sports
relationship,sports
between,sports
two,sports
or,sports
more,sports
central,sports
ideas,sports
of,sports
a,sports
"text,",sports
including,sports
the,sports
development,sports
and,sports
interaction,sports
of,sports
the,sports
central,sports
ideas;,sports
provide,sports
an,sports
objective,sports
summary,sports
of,sports
the,sports
text.CC.1.2.1112.BCite,sports
strong,sports
and,sports
thorough,sports
textual,sports
evidence,sports
to,sports
support,sports
analysis,sports
of,sports
what,sports
the,sports
text,sports
says,sports
"explicitly,",sports
as,sports
well,sports
as,sports
inferences,sports
and,sports
conclusions,sports
based,sports
on,sports
and,sports
related,sports
to,sports
an,sports
authors,sports
implicit,sports
and,sports
explicit,sports
assumptions,sports
and,sports
beliefs.,sports
Students,sports
explore,sports
why,sports
different,sports
types,sports
of,sports
sneakers,sports
are,sports
used,sports
in,sports
a,sports
variety,sports
of,sports
common,sports
"sports,",sports
and,sports
how,sports
engineers,sports
analyze,sports
design,sports
needs,sports
in,sports
sneakers,sports
and,sports
many,sports
other,sports
everyday,sports
items.,sports
The,sports
goal,sports
is,sports
for,sports
students,sports
to,sports
understand,sports
the,sports
basics,sports
of,sports
engineering,sports
associated,sports
with,sports
the,sports
design,sports
of,sports
athletic,sports
shoes.,sports
The,sports
design,sports
of,sports
footware,sports
based,sports
on,sports
how,sports
it,sports
will,sports
be,sports
used,sports
involves,sports
bioengineering.,sports
Students,sports
analyze,sports
the,sports
foot,sports
movements,sports
in,sports
a,sports
variety,sports
of,sports
"sports,",sports
develop,sports
design,sports
criteria,sports
for,sports
a,sports
specific,sports
"sport,",sports
and,sports
make,sports
recommendations,sports
for,sports
requirements,sports
for,sports
the,sports
sneakers,sports
used,sports
in,sports
that,sports
sport.,sports
